fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
001,0,1.000000,1.000000,1.000000,1.000000,1,1
001,1,1.000000,1.000000,1.000000,1.000000,1,1
001,2,1.000000,1.000000,1.000000,1.000000,1,1
001,3,1.000000,1.000000,1.000000,1.000000,1,1
001,4,1.000000,1.000000,1.000000,1.000000,1,1
001,5,1.000000,1.000000,1.000000,1.000000,1,1
001,6,1.000000,1.000000,1.000000,1.000000,1,1
001,7,1.000000,1.000000,1.000000,1.000000,1,1
001,8,1.000000,1.000000,1.000000,1.000000,1,1
001,9,1.000000,1.000000,1.000000,1.000000,1,1
001,10,1.000000,1.000000,1.000000,1.000000,1,1
001,11,1.000000,1.000000,1.000000,1.000000,1,1
001,12,1.000000,1.000000,1.000000,1.000000,1,1
001,13,1.000000,1.000000,1.000000,1.000000,1,1
001,14,1.000000,1.000000,1.000000,1.000000,1,1
001,15,1.000000,1.000000,1.000000,1.000000,1,1
001,16,1.000000,1.000000,1.000000,1.000000,1,1
001,17,1.000000,1.000000,1.000000,1.000000,1,1
001,18,1.000000,1.000000,1.000000,1.000000,1,1
001,19,1.000000,1.000000,1.000000,1.000000,1,1
001,20,1.000000,1.000000,1.000000,1.000000,1,1
001,21,1.000000,1.000000,1.000000,1.000000,1,1
001,22,1.000000,1.000000,1.000000,1.000000,1,1
001,23,1.000000,1.000000,1.000000,1.000000,1,1
001,24,1.000000,1.000000,1.000000,1.000000,1,1
001,25,1.000000,1.000000,1.000000,1.000000,1,1
001,26,1.000000,1.000000,1.000000,1.000000,1,1
001,27,1.000000,1.000000,1.000000,1.000000,1,1
001,28,1.000000,1.000000,1.000000,1.000000,1,1
001,29,1.000000,1.000000,1.000000,1.000000,1,1
001,30,1.000000,1.000000,1.000000,1.000000,1,1
001,31,1.000000,1.000000,1.000000,1.000000,1,1
001,32,1.000000,1.000000,1.000000,1.000000,1,1
001,33,1.000000,1.000000,1.000000,1.000000,1,1
001,34,1.000000,1.000000,1.000000,1.000000,1,1
001,35,1.000000,1.000000,1.000000,1.000000,1,1
001,36,1.000000,1.000000,1.000000,1.000000,1,1
001,37,1.000000,1.000000,1.000000,1.000000,1,1
001,38,1.000000,1.000000,1.000000,1.000000,1,1
001,39,1.000000,1.000000,1.000000,1.000000,1,1
001,40,1.000000,1.000000,1.000000,1.000000,1,1
001,41,1.000000,1.000000,1.000000,1.000000,1,1
001,42,1.000000,1.000000,1.000000,1.000000,1,1
001,43,1.000000,1.000000,1.000000,1.000000,1,1
001,44,1.000000,1.000000,1.000000,1.000000,1,1
001,45,1.000000,1.000000,1.000000,1.000000,1,1
001,46,1.000000,1.000000,1.000000,1.000000,1,1
001,47,1.000000,1.000000,1.000000,1.000000,1,1
001,48,1.000000,1.000000,1.000000,1.000000,1,1
001,49,1.000000,1.000000,1.000000,1.000000,1,1
001,50,1.000000,1.000000,1.000000,1.000000,1,1
001,51,1.000000,1.000000,1.000000,1.000000,1,1
001,52,1.000000,1.000000,1.000000,1.000000,1,1
001,53,1.000000,1.000000,1.000000,1.000000,1,1
001,54,1.000000,1.000000,1.000000,1.000000,1,1
001,55,1.000000,1.000000,1.000000,1.000000,1,1
001,56,1.000000,1.000000,1.000000,1.000000,1,1
001,57,1.000000,1.000000,1.000000,1.000000,1,1
001,58,1.000000,1.000000,1.000000,1.000000,1,1
001,59,1.000000,1.000000,1.000000,1.000000,1,1
001,60,1.000000,1.000000,1.000000,1.000000,1,1
001,61,1.000000,1.000000,1.000000,1.000000,1,1
001,62,1.000000,1.000000,1.000000,1.000000,1,1
001,63,1.000000,1.000000,1.000000,1.000000,1,1
001,64,1.000000,1.000000,1.000000,1.000000,1,1
001,65,1.000000,1.000000,1.000000,1.000000,1,1
001,66,1.000000,1.000000,1.000000,1.000000,1,1
001,67,1.000000,1.000000,1.000000,1.000000,1,1
001,68,1.000000,1.000000,1.000000,1.000000,1,1
001,69,1.000000,1.000000,1.000000,1.000000,1,1
001,70,1.000000,1.000000,1.000000,1.000000,1,1
001,71,1.000000,1.000000,1.000000,1.000000,1,1
001,72,1.000000,1.000000,1.000000,1.000000,1,1
001,73,1.000000,1.000000,1.000000,1.000000,1,1
001,74,1.000000,1.000000,1.000000,1.000000,1,1
001,75,1.000000,1.000000,1.000000,1.000000,1,1
001,76,1.000000,1.000000,1.000000,1.000000,1,1
001,77,1.000000,1.000000,1.000000,1.000000,1,1
001,78,1.000000,1.000000,1.000000,1.000000,1,1
001,79,1.000000,1.000000,1.000000,1.000000,1,1
001,80,1.000000,1.000000,1.000000,1.000000,1,1
001,81,1.000000,1.000000,1.000000,1.000000,1,1
001,82,1.000000,1.000000,1.000000,1.000000,1,1
001,83,1.000000,1.000000,1.000000,1.000000,1,1
001,84,1.000000,1.000000,1.000000,1.000000,1,1
001,85,1.000000,1.000000,1.000000,1.000000,1,1
001,86,1.000000,1.000000,1.000000,1.000000,1,1
001,87,1.000000,1.000000,1.000000,1.000000,1,1
001,88,1.000000,1.000000,1.000000,1.000000,1,1
001,89,1.000000,1.000000,1.000000,1.000000,1,1
001,90,1.000000,1.000000,1.000000,1.000000,1,1
001,91,1.000000,1.000000,1.000000,1.000000,1,1
001,92,1.000000,1.000000,1.000000,1.000000,1,1
001,93,1.000000,1.000000,1.000000,1.000000,1,1
001,94,1.000000,1.000000,1.000000,1.000000,1,1
001,95,1.000000,1.000000,1.000000,1.000000,1,1
001,96,1.000000,1.000000,1.000000,1.000000,1,1
001,97,1.000000,1.000000,1.000000,1.000000,1,1
001,98,1.000000,1.000000,1.000000,1.000000,1,1
001,99,1.000000,1.000000,1.000000,1.000000,1,1
001,100,1.000000,1.000000,1.000000,1.000000,1,1
001,101,1.000000,1.000000,1.000000,1.000000,1,1
001,102,1.000000,1.000000,1.000000,1.000000,1,1
001,103,1.000000,1.000000,1.000000,1.000000,1,1
001,104,1.000000,1.000000,1.000000,1.000000,1,1
001,105,1.000000,1.000000,1.000000,1.000000,1,1
001,106,1.000000,1.000000,1.000000,1.000000,1,1
001,107,1.000000,1.000000,1.000000,1.000000,1,1
001,108,1.000000,1.000000,1.000000,1.000000,1,1
001,109,1.000000,1.000000,1.000000,1.000000,1,1
001,110,1.000000,1.000000,1.000000,1.000000,1,1
001,111,1.000000,1.000000,1.000000,1.000000,1,1
001,112,1.000000,1.000000,1.000000,1.000000,1,1
001,113,1.000000,1.000000,1.000000,1.000000,1,1
001,114,1.000000,1.000000,1.000000,1.000000,1,1
001,115,1.000000,1.000000,1.000000,1.000000,1,1
001,116,1.000000,1.000000,1.000000,1.000000,1,1
001,117,1.000000,1.000000,1.000000,1.000000,1,1
001,118,1.000000,1.000000,1.000000,1.000000,1,1
001,119,1.000000,1.000000,1.000000,1.000000,1,1
001,120,1.000000,1.000000,1.000000,1.000000,1,1
001,121,1.000000,1.000000,1.000000,1.000000,1,1
001,122,1.000000,1.000000,1.000000,1.000000,1,1
001,123,1.000000,1.000000,1.000000,1.000000,1,1
001,124,1.000000,1.000000,1.000000,1.000000,1,1
001,125,1.000000,1.000000,1.000000,1.000000,1,1
001,126,1.000000,1.000000,1.000000,1.000000,1,1
001,127,1.000000,1.000000,1.000000,1.000000,1,1
001,128,1.000000,1.000000,1.000000,1.000000,1,1
001,129,1.000000,1.000000,1.000000,1.000000,1,1
001,130,1.000000,1.000000,1.000000,1.000000,1,1
001,131,1.000000,1.000000,1.000000,1.000000,1,1
001,132,1.000000,1.000000,1.000000,1.000000,1,1
001,133,1.000000,1.000000,1.000000,1.000000,1,1
001,134,1.000000,1.000000,1.000000,1.000000,1,1
001,135,1.000000,1.000000,1.000000,1.000000,1,1
001,136,1.000000,1.000000,1.000000,1.000000,1,1
001,137,1.000000,1.000000,1.000000,1.000000,1,1
001,138,1.000000,1.000000,1.000000,1.000000,1,1
001,139,1.000000,1.000000,1.000000,1.000000,1,1
001,140,1.000000,1.000000,1.000000,1.000000,1,1
001,141,1.000000,1.000000,1.000000,1.000000,1,1
001,142,1.000000,1.000000,1.000000,1.000000,1,1
001,143,1.000000,1.000000,1.000000,1.000000,1,1
001,144,1.000000,1.000000,1.000000,1.000000,1,1
001,145,1.000000,1.000000,1.000000,1.000000,1,1
001,146,1.000000,1.000000,1.000000,1.000000,1,1
001,147,1.000000,1.000000,1.000000,1.000000,1,1
001,148,1.000000,1.000000,1.000000,1.000000,1,1
001,149,1.000000,1.000000,1.000000,1.000000,1,1
001,150,1.000000,1.000000,1.000000,1.000000,1,1
